1	ну	ну	INTJ	_	_	_	_	_	@sag1984m-words#@sag1984m#1.62#1.853
2	вот	вот	PART	_	_	_	_	_	@sag1984m-words#@sag1984m#1.853#2.086
3	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@sag1984m-words#@sag1984m#2.086#2.319
4	просто	просто	PART	_	_	_	_	_	@sag1984m-words#@sag1984m#2.319#2.552
5	производит	производить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@sag1984m-words#@sag1984m#2.552#2.785
6	колбасу	колбаса	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@sag1984m-words#@sag1984m#2.785#3.018
7	каждый	каждый	DET	_	Case=Acc|Gender=Masc|Number=Sing	_	_	_	@sag1984m-words#@sag1984m#3.018#3.251
8	день	день	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@sag1984m-words#@sag1984m#3.251#3.484
9	/	/	PUNCT	_	_	_	_	_	@sag1984m-words#@sag1984m#3.484#3.717
10	сотни	сотня	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Plur	_	_	_	@sag1984m-words#@sag1984m#3.717#3.95
11	тысяч	тысяча	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@sag1984m-words#@sag1984m#3.95#4.183
12	людей	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@sag1984m-words#@sag1984m#4.183#4.416
13	ее	она	PRON	_	Case=Acc|Gender=Fem|Number=Sing|Person=3	_	_	_	@sag1984m-words#@sag1984m#4.416#4.649
14	кушают	кушать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@sag1984m-words#@sag1984m#4.649#4.882
15	и	и	CCONJ	_	_	_	_	_	@sag1984m-words#@sag1984m#4.882#5.115
16	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@sag1984m-words#@sag1984m#5.115#5.348
17	однажды	однажды	ADV	_	Degree=Pos	_	_	_	@sag1984m-words#@sag1984m#5.348#5.581
18	просыпается	просыпаться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@sag1984m-words#@sag1984m#5.581#5.814
19	и	и	CCONJ	_	_	_	_	_	@sag1984m-words#@sag1984m#5.814#6.047
20	говорит	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@sag1984m-words#@sag1984m#6.047#6.28
21	а	а	CCONJ	_	_	_	_	_	@sag1984m-words#@sag1984m#6.28#6.513
22	чего	что	INTJ	_	_ _	_	_	@sag1984m-words#@sag1984m#6.513#6.746	
23	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@sag1984m-words#@sag1984m#6.746#6.979
24	и	и	CCONJ	_	_	_	_	_	@sag1984m-words#@sag1984m#6.979#7.212
25	кино	кино	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@sag1984m-words#@sag1984m#7.212#7.445
26	могу	мочь	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@sag1984m-words#@sag1984m#7.445#7.678
27	делать	делать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@sag1984m-words#@sag1984m#7.678#7.933
28	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@sag1984m-words#@sag1984m#8.08#8.401
29	же	же	PART	_	_	_	_	_	@sag1984m-words#@sag1984m#8.401#8.722
30	говорит	говорить	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@sag1984m-words#@sag1984m#8.722#9.043
31	колбасу	колбаса	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@sag1984m-words#@sag1984m#9.043#9.364
32	произвел	производить	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	_	_	_	@sag1984m-words#@sag1984m#9.364#9.685
33	и	и	PART	_	_	_	_	_	@sag1984m-words#@sag1984m#9.685#10.006
